17:29:46-->Server Log Created!
17:29:46-->SERVER STARTED. Version: 0.1
17:30:11-->New connection to /
17:30:11-->New connection to /Beachimg.jpg
17:30:11-->New connection to /favicon.ico
17:33:45-->New connection to /
17:33:45-->New connection to /CSS/index.css
17:36:11-->New connection to /
17:36:11-->New connection to /CSS/index.css
17:36:59-->New connection to /
17:36:59-->New connection to /CSS/index.css
17:37:21-->New connection to /mockPage.html
17:37:32-->New connection to /
17:37:32-->New connection to /CSS/index.css
17:37:34-->New connection to /
17:37:34-->New connection to /CSS/index.css
18:14:24-->New connection to /
18:14:24-->New connection to /CSS/index.css
18:14:41-->New connection to /CSS/index.css
18:15:0-->New connection to /
18:15:0-->New connection to /CSS/index.css
18:16:42-->New connection to /
18:16:42-->New connection to /CSS/index.css
18:17:4-->New connection to /
18:17:4-->New connection to /CSS/index.css
18:18:4-->New connection to /
18:19:32-->New connection to /
18:19:32-->New connection to /CSS/index.css
18:20:59-->New connection to /
18:21:0-->New connection to /CSS/index.css
18:21:0-->New connection to /Beachimg.jpg
18:21:20-->New connection to /
18:21:21-->New connection to /CSS/index.css
18:21:21-->New connection to /Beachimg.jpg
18:22:8-->New connection to /
18:22:8-->New connection to /CSS/index.css
18:22:9-->New connection to /images/Beachimg.jpg
18:22:28-->New connection to /
18:22:28-->New connection to /CSS/index.css
18:22:28-->New connection to /images/Beachimg.jpg
18:25:21-->New connection to /
18:25:21-->New connection to /CSS/index.css
18:25:46-->New connection to /
14:25:44-->SERVER STARTED. Version: 0.1
14:29:18-->SERVER STARTED. Version: 0.1
14:29:24-->New connection to /
14:29:24-->New connection to /css/index.css
14:29:24-->New connection to /favicon.ico
11:55:32-->SERVER STARTED. Version: 0.1
11:55:49-->New connection to /
11:55:49-->New connection to /css/index.css
11:55:49-->New connection to /favicon.ico
11:57:26-->New connection to /
11:57:26-->New connection to /css/index.css
16:27:25-->SERVER STARTED. Version: 0.1
16:32:19-->SERVER STARTED. Version: 0.1
16:32:42-->New connection to /
16:32:42-->New connection to /css/index.css
16:32:45-->New connection to /Games/index.html
16:32:51-->New connection to /index.html
16:32:51-->New connection to /css/index.css
16:32:55-->New connection to /Calender/calenderPage.html
16:34:31-->New connection to /Calender/calenderPage.html
16:39:29-->SERVER STARTED. Version: 0.1
16:41:12-->New connection to /Calender/calenderPage.html
16:42:5-->New connection to /Calender/calenderPage.html
16:42:5-->New connection to /Calender/calender.css
16:42:5-->New connection to /Calender/calender.js
16:42:5-->New connection to /Calender/forestClearing.jpg
16:42:15-->New connection to /Calender/calenderPage.html
16:42:15-->New connection to /Calender/calender.css
16:42:15-->New connection to /Calender/calender.js
16:42:15-->New connection to /Calender/forestClearing.jpg
16:42:26-->New connection to /Calender/calenderPage.html
16:42:26-->New connection to /Calender/calender.css
16:42:26-->New connection to /Calender/calender.js
16:42:26-->New connection to /Calender/forestClearing.jpg
16:42:29-->New connection to /Calender/calenderPage.html
16:42:29-->New connection to /Calender/calender.css
16:42:29-->New connection to /Calender/calender.js
16:42:29-->New connection to /Calender/forestClearing.jpg
16:43:2-->New connection to /Calender/calenderPage.html
16:43:2-->New connection to /Calender/calender.css
16:43:2-->New connection to /Calender/calender.js
16:43:2-->New connection to /Calender/forestClearing.jpg
16:43:6-->New connection to /Calender/calenderPage.html
16:43:6-->New connection to /Calender/calender.css
16:43:6-->New connection to /Calender/calender.js
